id;make;model;price
1;San deposit Berkshire;facilitate Towels;one-to-one
2;Cuban Profit-focused;mint calculate;Nebraska calculate
3;Small Human Front-line;empowering Ghana parsing;Grocery
4;Sleek;Cambodia Mexico Northern;orchestrate optimize
5;Configurable PCI motivating;Sleek algorithm;Glens synthesizing Practical
6;web gold;Granite;Global Nakfa
7;navigate Loan Fiji;Automotive National;Central Officer optical
8;Concrete;Gardens index;Assistant
9;Steel Fantastic Saint;transmit Minnesota Unbranded;Turkey
10;methodology;COM;Unbranded bandwidth payment
